policy,k,h,H,ell_o,ell_s,C,D,Omega,Lambda,chi,gamma,gamma_real,C_shock,chi_shock_fluid,R,event_fraction,mean_T_tilde,mean_shock_delay,median_shock_delay,q90_shock_delay,q95_shock_delay,q99_shock_delay,ES95_shock_delay,prob_delay_ge_one_window,prob_negative_delay,mean_shock_blocked_fraction,prob_any_shock_block,mean_productive_A_shock,mean_productive_B_shock,mean_architecture_advantage_tilde,diffuse_mean_shock_delay,diffuse_q95_shock_delay,diffuse_ES95_shock_delay,diffuse_prob_negative_delay,q95_resilience_contrast,ES95_resilience_contrast
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.8,1.08,0.8,0.8,48,1.35,1000,1,84.771,3.537,3.0,6.0,8.0,10.0,9.0,0,0,0.18394444444444444,0.989,20.588,20.661,1.848,1.125,4.0,4.821782178217822,0,4.0,4.178217821782178
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.8,1.08,0.6,0.6,36,1.8,1000,1,89.359,8.125,8.0,12.0,15.0,18.0,16.47457627118644,0,0,0.3063888888888889,1,17.496,17.578,1.839,5.722,11.0,12.34920634920635,0,4.0,4.12536992198009
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.8,1.08,0.5,0.5,30,2.16,1000,1,91.664,10.43,10.0,16.0,18.0,22.0,19.918032786885245,0,0,0.36791666666666667,1,15.943,15.979,0.094,9.772,16.0,17.865384615384617,0,2.0,2.0526481715006284
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.8,1.08,0.4,0.4,24,2.7,1000,1,95.815,14.581,14.0,21.0,23.0,27.0,25.389830508474578,0,0,0.47424999999999995,1,13.281,13.275,-0.197,14.214,21.0,22.774647887323944,0,2.0,2.615182621150634
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.8,1.08,1.0,1.0,60,1.08,1000,1,73.416,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0883611111111111,0.82,25.729,25.787,-8.382,0.0,0.0,0.0,0,0.0,0.0
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.8,1.08,0.8,0.8,48,1.35,1000,1,76.998,3.582,3.0,6.0,8.0,10.0,9.140350877192983,0,0,0.1841944444444444,0.994,22.879,22.936,-5.925,1.125,4.0,4.821782178217822,0,4.0,4.318568698975161
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.8,1.08,0.6,0.6,36,1.8,1000,1,81.582,8.166,8.0,12.0,14.0,17.0,15.55,0,0,0.30791666666666667,1,19.19,19.279,-5.938,5.722,11.0,12.34920634920635,0,3.0,3.200793650793651
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.8,1.08,0.5,0.5,30,2.16,1000,1,83.721,10.305,10.0,15.0,17.0,20.0,18.51923076923077,0,0,0.36847222222222226,1,17.466,17.569,-7.849,9.772,16.0,17.865384615384617,0,1.0,0.6538461538461533
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,36,0.6,1.8,1.08,0.4,0.4,24,2.7,1000,1,87.482,14.066,14.0,20.0,21.0,26.0,22.794520547945204,0,0,0.47363888888888883,1,14.464,14.526,-8.53,14.214,21.0,22.774647887323944,0,0.0,0.019872660621260252
uniform,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,36,0.6,1.8,1.08,1.0,1.0,60,1.08,1000,1,70.736,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08947222222222222,0.83,27.156,27.236,-11.062,0.0,0.0,0.0,0,0.0,0.0
