policy,Omega,k,h,ell_s,regime,ell_star,theory_architecture_advantage,rmst_architecture_advantage,prediction_favors_concentration,observed_favors_concentration,sign_match,error_observed_minus_theory
uniform,1.0,15,1.0,1.0,structural_win,0.7,-64.7459947456991,-75.21,1,1,1,-10.4640052543009
uniform,1.5,4,0.266666666666667,0.7,competence_rescuable,0.812779307365417,4.41338961201231,6.039999999999992,0,0,1,1.6266103879876823
uniform,1.5,4,0.266666666666667,0.8,competence_rescuable,0.812779307365417,0.451949571694669,0.04999999999999716,0,0,1,-0.4019495716946718
uniform,1.5,4,0.266666666666667,0.9,competence_rescuable,0.812779307365417,-2.81770704564526,-3.9150000000000063,1,1,1,-1.0972929543547463
uniform,1.5,4,0.266666666666667,1.0,competence_rescuable,0.812779307365417,-5.572397137336041,-6.965000000000003,1,1,1,-1.3926028626639626
uniform,1.5,7,0.466666666666667,0.7,competence_rescuable,0.877618500590324,9.61195884671724,25.804999999999993,0,0,1,16.193041153282753
uniform,1.5,7,0.466666666666667,0.8,competence_rescuable,0.877618500590324,2.9040319172781905,6.765000000000001,0,0,1,3.86096808272181
uniform,1.5,7,0.466666666666667,0.9,competence_rescuable,0.877618500590324,-0.761310818161292,-2.1950000000000074,1,1,1,-1.4336891818387154
uniform,1.5,7,0.466666666666667,1.0,competence_rescuable,0.877618500590324,-3.82008516764472,-6.915000000000006,1,1,1,-3.094914832355286
uniform,1.5,8,0.533333333333333,0.7,competence_rescuable,0.841466543078423,17.0606685396755,29.385000000000005,0,0,1,12.324331460324505
uniform,1.5,8,0.533333333333333,0.8,competence_rescuable,0.841466543078423,1.6275539748913999,5.625,0,0,1,3.9974460251086
uniform,1.5,8,0.533333333333333,0.9,competence_rescuable,0.841466543078423,-2.08304839298972,-4.535000000000011,1,1,1,-2.4519516070102907
uniform,1.5,8,0.533333333333333,1.0,competence_rescuable,0.841466543078423,-5.16469424934817,-8.844999999999999,1,1,1,-3.6803057506518293
uniform,1.5,9,0.6,0.7,competence_rescuable,0.786255657672882,11.8817322832937,31.35000000000001,0,0,1,19.468267716706308
