policy,Omega,k,h,H,ell_o,ell_s,C,D,Lambda,chi,regime,ell_star,T_theory_concentrated,T_theory_diffuse,theory_architecture_advantage,R,event_fraction_capacity,event_fraction_free,event_fraction_diffuse,rmst_capacity,rmst_free,rmst_diffuse_capacity,rmst_capacity_penalty,rmst_architecture_advantage,mean_row_capacity_penalty,mean_row_architecture_advantage,mean_T_observed,median_T_observed,q90_T_observed,q95_T_observed,mean_blocked_fraction,prob_any_block,mean_first_block_attempt_conditional,mean_windows_started
matched,1.0,7,0.466666666666667,0.217777777777778,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,55.2511126638274,77.9217094224623,-22.6705967586349,200,1.0,1.0,1.0,64.515,58.245,89.21,6.270000000000003,-24.694999999999993,6.27,-24.695,64.515,64.5,70.0,72.04999999999998,0.10177849859344597,0.98,41.30102040816327,1.845
matched,1.0,7,0.466666666666667,0.217777777777778,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,51.5637832292123,77.9217094224623,-26.35792619325,200,1.0,1.0,1.0,60.14,54.595,89.21,5.545000000000002,-29.069999999999993,5.545,-29.07,60.14,61.0,66.0,68.0,0.0973691923075429,0.95,40.94736842105263,1.515
matched,1.0,7,0.466666666666667,0.217777777777778,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,48.4953351028707,77.9217094224623,-29.426374319591602,200,1.0,1.0,1.0,55.855,51.44,89.21,4.414999999999999,-33.355,4.415,-33.355,55.855,56.0,62.099999999999994,63.0,0.0818802532157819,0.895,40.14525139664804,1.22
matched,1.0,8,0.533333333333333,0.284444444444444,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,54.0209992061136,77.9217094224623,-23.9007102163487,200,1.0,1.0,1.0,62.875,57.425,89.21,5.450000000000003,-26.334999999999994,5.45,-26.335,62.875,63.0,71.0,73.0,0.09172124435683257,0.96,40.338541666666664,1.695
matched,1.0,8,0.533333333333333,0.284444444444444,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,49.3067941070876,77.9217094224623,-28.614915315374695,200,1.0,1.0,1.0,56.325,52.1,89.21,4.225000000000001,-32.88499999999999,4.225,-32.885,56.325,56.0,64.0,66.0,0.07749441639187533,0.88,39.28409090909091,1.28
matched,1.0,8,0.533333333333333,0.284444444444444,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,45.4664317874085,77.9217094224623,-32.4552776350538,200,1.0,1.0,1.0,50.565,47.805,89.21,2.759999999999998,-38.644999999999996,2.76,-38.645,50.565,50.0,57.099999999999994,61.0,0.05599500961039858,0.715,36.98601398601399,1.06
matched,1.0,8,0.533333333333333,0.284444444444444,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,42.266590859071606,77.9217094224623,-35.6551185633907,200,1.0,1.0,1.0,46.18,44.47,89.21,1.7100000000000009,-43.029999999999994,1.71,-43.03,46.18,45.0,52.0,53.0,0.0404892664561094,0.61,35.278688524590166,1.01
matched,1.0,9,0.6,0.36,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,47.715970158315,77.9217094224623,-30.2057392641473,200,1.0,1.0,1.0,53.22,50.325,89.21,2.894999999999996,-35.989999999999995,2.895,-35.99,53.22,53.0,61.099999999999994,63.04999999999998,0.0615663137394401,0.81,38.9320987654321,1.13
matched,1.0,9,0.6,0.36,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,42.9724356826955,77.9217094224623,-34.9492737397668,200,1.0,1.0,1.0,46.745,45.275,89.21,1.4699999999999989,-42.464999999999996,1.47,-42.465,46.745,46.0,52.099999999999994,54.04999999999998,0.0393795618448323,0.595,35.69747899159664,1.005
matched,1.0,9,0.6,0.36,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,39.1316984795048,77.9217094224623,-38.7900109429575,200,1.0,1.0,1.0,41.86,40.95,89.21,0.9099999999999966,-47.349999999999994,0.91,-47.35,41.86,42.0,46.0,47.04999999999998,0.027141839933898546,0.485,33.90721649484536,1.0
