panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block,T_free_theory,T_theory,delay_theory,first_exhaustion_theory,exact_T_expected,exact_delay_expected,exact_identity_note,T_error
A,product,uniform,8,120,120,1.0,0.0,0.0,0.8,14,500,1.0,124.808,125.0,130.0,132.0,0.1302775504135916,1.0,109.3110026055,109.3110026055,0.0,120.0,,,h0_matched_equals_uniform_pathwise,15.496997394500013
A,product,uniform,8,120,120,1.0,0.25,0.0625,0.8,14,500,1.0,141.77,141.0,148.0,151.0,0.3045979604801084,1.0,98.9528555532615,141.031425674525,42.0785701212638,43.6363636363636,,,,0.7385743254750139
A,product,uniform,8,120,120,1.0,0.5,0.25,0.8,14,500,1.0,147.084,144.0,159.0,165.0,0.5274750348978386,1.0,68.8886316901289,143.460315627744,74.5716839376155,26.6666666666667,,,,3.623684372256008
A,product,uniform,8,120,120,1.0,0.75,0.5625,0.8,14,500,1.0,128.26,128.0,130.0,131.0,0.7412830777921674,1.0,27.8683670754845,127.473604850541,99.6052377750564,19.2,,,,0.7863951494589969
A,product,uniform,8,120,120,1.0,0.9,0.81,0.8,14,500,1.0,121.17,121.0,122.0,122.0,0.8431044122295986,1.0,17.2221995022255,120.742710665389,103.520511163164,16.4383561643836,,,,0.4272893346110038
A,product,uniform,8,120,120,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767768,13.1757146767632,-1.36424205265939e-11,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
A,product,uniform,8,120,180,1.5,0.0,0.0,0.8,14,500,1.0,135.778,134.0,155.0,163.0,0.1984995256839654,1.0,109.3110026055,109.3110026055,0.0,120.0,,,h0_matched_equals_uniform_pathwise,26.466997394499998
A,product,uniform,8,120,180,1.5,0.25,0.0625,0.8,14,500,1.0,184.58,185.0,190.0,192.0,0.444201402346043,1.0,98.9528555532274,182.101016335417,83.1481607821894,43.6363636363636,,,,2.478983664583012
A,product,uniform,8,120,180,1.5,0.5,0.25,0.8,14,500,1.0,196.182,196.0,201.0,203.0,0.627279974397581,1.0,68.888631690163,195.60336047735,126.714728787187,26.6666666666667,,,,0.5786395226499792
A,product,uniform,8,120,180,1.5,0.75,0.5625,0.8,14,500,1.0,187.678,188.0,189.0,190.0,0.8119692889930556,1.0,27.8683670755015,186.827378203184,158.959011127683,19.2,,,,0.8506217968160001
